,城市,2015平均房价
0,合肥市,8461元/㎡
1,阜阳市,6309元/㎡
2,芜湖市,5896元/㎡
3,黄山市,5627元/㎡
4,池州市,5609元/㎡
5,安庆市,5484元/㎡
6,铜陵市,5381元/㎡
7,蚌埠市,5307元/㎡
8,宿州市,5166元/㎡
9,六安市,5150元/㎡
10,淮北市,5073元/㎡
11,马鞍山市,4985元/㎡
12,亳州市,4577元/㎡
13,淮南市,4283元/㎡
14,厦门市,25970元/㎡
15,福州市,14577元/㎡
16,莆田市,10000元/㎡
17,漳州市,8508元/㎡
18,龙岩市,8382元/㎡
19,泉州市,7845元/㎡
20,三明市,7483元/㎡
21,兰州市,8465元/㎡
22,深圳市,41494元/㎡
23,广州市,20016元/㎡
24,珠海市,14980元/㎡
25,东莞市,8371元/㎡
26,河源市,8223元/㎡
27,汕头市,7479元/㎡
28,惠州市,6125元/㎡
29,佛山市,6082元/㎡
30,中山市,5925元/㎡
31,湛江市,5627元/㎡
32,茂名市,5585元/㎡
33,肇庆市,5537元/㎡
34,揭阳市,5526元/㎡
35,江门市,5043元/㎡
36,韶关市,4598元/㎡
37,阳江市,4177元/㎡
38,清远市,3834元/㎡
39,南宁市,6748元/㎡
40,柳州市,6423元/㎡
41,桂林市,5710元/㎡
42,北海市,4627元/㎡
43,玉林市,4267元/㎡
44,贵港市,4007元/㎡
45,梧州市,3662元/㎡
46,钦州市,3286元/㎡
47,贵阳市,5805元/㎡
48,六盘水市,4243元/㎡
49,西宁市,4379元/㎡
50,石家庄市,8986元/㎡
51,保定市,7117元/㎡
52,廊坊市,7043元/㎡
53,张家口市,6372元/㎡
54,邯郸市,6256元/㎡
55,唐山市,6120元/㎡
56,承德市,6061元/㎡
57,秦皇岛市,5814元/㎡
58,沧州市,5766元/㎡
59,邢台市,5600元/㎡
60,衡水市,4873元/㎡
61,哈尔滨市,9131元/㎡
62,齐齐哈尔市,5263元/㎡
63,大庆市,5073元/㎡
64,牡丹江市,4116元/㎡
65,佳木斯市,3701元/㎡
66,绥化市,3605元/㎡
67,鸡西市,3202元/㎡
68,郑州市,8790元/㎡
69,濮阳市,5508元/㎡
70,许昌市,5091元/㎡
71,平顶山市,4917元/㎡
72,洛阳市,4851元/㎡
73,鹤壁市,4797元/㎡
74,开封市,4542元/㎡
75,南阳市,4468元/㎡
76,新乡市,4391元/㎡
77,焦作市,4329元/㎡
78,商丘市,3975元/㎡
79,安阳市,3894元/㎡
80,漯河市,3418元/㎡
81,济源市,3305元/㎡
82,武汉市,10000元/㎡
83,宜昌市,6011元/㎡
84,襄阳市,5473元/㎡
85,十堰市,5000元/㎡
86,黄石市,4692元/㎡
87,恩施市,4592元/㎡
88,荆州市,4533元/㎡
89,孝感市,4056元/㎡
90,荆门市,3608元/㎡
91,黄冈市,3599元/㎡
92,鄂州市,3103元/㎡
93,咸宁市,2875元/㎡
94,长沙市,6448元/㎡
95,常德市,4766元/㎡
96,株洲市,4557元/㎡
97,邵阳市,3986元/㎡
98,湘潭市,3949元/㎡
99,郴州市,3839元/㎡
100,益阳市,3772元/㎡
101,怀化市,3716元/㎡
102,永州市,3533元/㎡
103,衡阳市,3479元/㎡
104,娄底市,3028元/㎡
105,南京市,18697元/㎡
106,苏州市,12251元/㎡
107,扬州市,8406元/㎡
108,南通市,8308元/㎡
109,昆山市,7488元/㎡
110,镇江市,7304元/㎡
111,无锡市,6771元/㎡
112,徐州市,6624元/㎡
113,常州市,6560元/㎡
114,盐城市,6514元/㎡
115,连云港市,5964元/㎡
116,淮安市,5580元/㎡
117,沭阳市,5500元/㎡
118,宿迁市,4905元/㎡
119,泰州市,4651元/㎡
120,南昌市,9212元/㎡
121,赣州市,5621元/㎡
122,抚州市,5491元/㎡
123,九江市,5140元/㎡
124,吉安市,4934元/㎡
125,萍乡市,3744元/㎡
126,景德镇市,3710元/㎡
127,长春市,6770元/㎡
128,吉林市,4684元/㎡
129,松原市,4184元/㎡
130,白城市,3976元/㎡
131,辽源市,3944元/㎡
132,通化市,3272元/㎡
133,大连市,9816元/㎡
134,沈阳市,7242元/㎡
135,葫芦岛市,5678元/㎡
136,丹东市,5536元/㎡
137,锦州市,5089元/㎡
138,辽阳市,4680元/㎡
139,鞍山市,4638元/㎡
140,铁岭市,3949元/㎡
141,盘锦市,3871元/㎡
142,赤峰市,5765元/㎡
143,包头市,5714元/㎡
144,呼和浩特市,5462元/㎡
145,巴彦淖尔市市,5050元/㎡
146,通辽市,4520元/㎡
147,鄂尔多斯市,4385元/㎡
148,银川市,4630元/㎡
149,太原市,8118元/㎡
150,晋城市,6126元/㎡
151,长治市,5719元/㎡
152,临汾市,5119元/㎡
153,晋中市,5075元/㎡
154,忻州市,5010元/㎡
155,运城市,3817元/㎡
156,大同市,3476元/㎡
157,青岛市,12384元/㎡
158,济南市,9281元/㎡
159,烟台市,7495元/㎡
160,泰安市,6759元/㎡
161,东营市,6184元/㎡
162,日照市,6109元/㎡
163,威海市,5626元/㎡
164,淄博市,5594元/㎡
165,济宁市,5507元/㎡
166,聊城市,5391元/㎡
167,德州市,5286元/㎡
168,莱芜市,5010元/㎡
169,菏泽市,4744元/㎡
170,潍坊市,4660元/㎡
171,滨州市,4644元/㎡
172,枣庄市,4510元/㎡
173,临沂市,4400元/㎡
174,成都市,8213元/㎡
175,宜宾市,6846元/㎡
176,遂宁市,5756元/㎡
177,广安市,5150元/㎡
178,自贡市,5076元/㎡
179,南充市,4787元/㎡
