,城市,2015平均房价
180,内江市,4750元/㎡
181,达州市,4749元/㎡
182,绵阳市,4710元/㎡
183,泸州市,4657元/㎡
184,资阳市,4656元/㎡
185,攀枝花市,4307元/㎡
186,乐山市,4171元/㎡
187,眉山市,3768元/㎡
188,德阳市,3670元/㎡
189,石河子市,5869元/㎡
190,乌鲁木齐市,5745元/㎡
191,克拉玛依市,5041元/㎡
192,哈密市,3825元/㎡
193,喀什市,3629元/㎡
194,拉萨市,6164元/㎡
195,昆明市,8202元/㎡
196,玉溪市,7142元/㎡
197,大理市,6392元/㎡
198,丽江市,5100元/㎡
199,普洱市,4597元/㎡
200,楚雄市,4277元/㎡
201,红河市,4028元/㎡
202,曲靖市,3776元/㎡
203,温州市,16873元/㎡
204,杭州市,16080元/㎡
205,宁波市,12250元/㎡
206,金华市,9914元/㎡
207,绍兴市,9107元/㎡
208,湖州市,8243元/㎡
209,衢州市,7571元/㎡
210,台州市,7540元/㎡
211,嘉兴市,6724元/㎡
212,北京市,39437元/㎡
213,上海市,35237元/㎡
214,天津市,15553元/㎡
215,重庆市,6289元/㎡
