,城市,2011平均房价
0,合肥市,6516元/㎡
1,厦门市,17538元/㎡
2,福州市,11031元/㎡
3,泉州市,8527元/㎡
4,兰州市,8347元/㎡
5,深圳市,17428元/㎡
6,广州市,14762元/㎡
7,珠海市,10764元/㎡
8,东莞市,6525元/㎡
9,佛山市,6176元/㎡
10,惠州市,5534元/㎡
11,中山市,5476元/㎡
12,南宁市,7434元/㎡
13,桂林市,5314元/㎡
14,贵阳市,5487元/㎡
15,秦皇岛市,7820元/㎡
16,唐山市,7703元/㎡
17,廊坊市,7565元/㎡
18,石家庄市,7307元/㎡
19,邯郸市,6107元/㎡
20,保定市,5571元/㎡
21,哈尔滨市,7527元/㎡
22,郑州市,6566元/㎡
23,洛阳市,5498元/㎡
24,武汉市,7854元/㎡
25,宜昌市,5899元/㎡
26,长沙市,6781元/㎡
27,南京市,14442元/㎡
28,苏州市,10000元/㎡
29,南通市,9986元/㎡
30,扬州市,8275元/㎡
31,泰州市,7777元/㎡
32,常州市,7638元/㎡
33,无锡市,7477元/㎡
34,昆山市,7153元/㎡
35,徐州市,6885元/㎡
36,镇江市,6860元/㎡
37,南昌市,7640元/㎡
38,长春市,6691元/㎡
39,吉林市,5558元/㎡
40,大连市,11115元/㎡
41,沈阳市,8105元/㎡
42,呼和浩特市,7044元/㎡
43,银川市,5934元/㎡
44,太原市,7374元/㎡
45,青岛市,12752元/㎡
46,济南市,8576元/㎡
47,烟台市,7633元/㎡
48,潍坊市,5000元/㎡
49,威海市,4973元/㎡
50,成都市,8477元/㎡
51,绵阳市,5382元/㎡
52,昆明市,8842元/㎡
53,杭州市,19721元/㎡
54,宁波市,15458元/㎡
55,绍兴市,9642元/㎡
56,嘉兴市,6872元/㎡
57,北京市,25166元/㎡
58,上海市,22665元/㎡
59,天津市,12732元/㎡
60,重庆市,6583元/㎡
