,城市,2014平均房价
0,合肥市,7825元/㎡
1,厦门市,24843元/㎡
2,福州市,13949元/㎡
3,泉州市,9402元/㎡
4,兰州市,9299元/㎡
5,深圳市,28117元/㎡
6,广州市,18564元/㎡
7,珠海市,12231元/㎡
8,东莞市,7926元/㎡
9,中山市,6447元/㎡
10,佛山市,6075元/㎡
11,惠州市,5585元/㎡
12,柳州市,6796元/㎡
13,南宁市,6341元/㎡
14,贵阳市,5496元/㎡
15,石家庄市,8800元/㎡
16,廊坊市,7418元/㎡
17,唐山市,6972元/㎡
18,哈尔滨市,8289元/㎡
19,郑州市,8503元/㎡
20,洛阳市,6069元/㎡
21,武汉市,9239元/㎡
22,长沙市,6401元/㎡
23,南京市,18099元/㎡
24,苏州市,10980元/㎡
25,常州市,7324元/㎡
26,昆山市,7128元/㎡
27,无锡市,6979元/㎡
28,徐州市,6367元/㎡
29,南昌市,9186元/㎡
30,长春市,6997元/㎡
31,大连市,10182元/㎡
32,沈阳市,7991元/㎡
33,呼和浩特市,5038元/㎡
34,太原市,8365元/㎡
35,青岛市,12286元/㎡
36,济南市,9341元/㎡
37,烟台市,7404元/㎡
38,淄博市,6230元/㎡
39,威海市,6028元/㎡
40,潍坊市,4925元/㎡
41,成都市,8277元/㎡
42,昆明市,8094元/㎡
43,杭州市,16984元/㎡
44,宁波市,14350元/㎡
45,北京市,37294元/㎡
46,上海市,30522元/㎡
47,天津市,14961元/㎡
48,重庆市,6718元/㎡
