,城市,2016平均房价
0,合肥市,14983元/㎡
1,巢湖市,6839元/㎡
2,阜阳市,6650元/㎡
3,芜湖市,6613元/㎡
4,六安市,5788元/㎡
5,黄山市,5652元/㎡
6,池州市,5615元/㎡
7,淮北市,5416元/㎡
8,安庆市,5391元/㎡
9,蚌埠市,5153元/㎡
10,宿州市,5056元/㎡
11,马鞍山市,4872元/㎡
12,亳州市,4575元/㎡
13,淮南市,4289元/㎡
14,滁州市,941元/㎡
15,铜陵市,219元/㎡
16,厦门市,38883元/㎡
17,福州市,19822元/㎡
18,莆田市,9912元/㎡
19,漳州市,9661元/㎡
20,龙岩市,8645元/㎡
21,泉州市,8417元/㎡
22,三明市,7083元/㎡
23,宁德市,6779元/㎡
24,南平市,5897元/㎡
25,兰州市,9014元/㎡
26,平凉市,6144元/㎡
27,庆阳市,5451元/㎡
28,定西市,4868元/㎡
29,酒泉市,4743元/㎡
30,深圳市,43289元/㎡
31,广州市,22926元/㎡
32,珠海市,19070元/㎡
33,东莞市,11651元/㎡
34,惠州市,8184元/㎡
35,中山市,8148元/㎡
36,汕头市,7596元/㎡
37,佛山市,7161元/㎡
38,湛江市,6404元/㎡
39,河源市,6361元/㎡
40,顺德市,6261元/㎡
41,茂名市,5909元/㎡
42,江门市,5487元/㎡
43,肇庆市,5477元/㎡
44,揭阳市,5012元/㎡
45,韶关市,4773元/㎡
46,汕尾市,4365元/㎡
47,阳江市,4078元/㎡
48,清远市,4000元/㎡
49,南宁市,7262元/㎡
50,柳州市,6703元/㎡
51,桂林市,6022元/㎡
52,北海市,4479元/㎡
53,玉林市,4314元/㎡
54,贵港市,4165元/㎡
55,防城港市,3793元/㎡
56,梧州市,3703元/㎡
57,钦州市,3384元/㎡
58,贵阳市,6175元/㎡
59,遵义市,4569元/㎡
60,六盘水市,3807元/㎡
61,西宁市,6391元/㎡
62,廊坊市,16175元/㎡
63,石家庄市,14878元/㎡
64,保定市,10151元/㎡
65,张家口市,8843元/㎡
66,沧州市,6834元/㎡
67,承德市,6695元/㎡
68,邯郸市,6521元/㎡
69,秦皇岛市,6497元/㎡
70,唐山市,6245元/㎡
71,邢台市,5476元/㎡
72,衡水市,5045元/㎡
73,哈尔滨市,7624元/㎡
74,齐齐哈尔市,5224元/㎡
75,大庆市,5100元/㎡
76,牡丹江市,4253元/㎡
77,佳木斯市,3710元/㎡
78,绥化市,3526元/㎡
79,鸡西市,3211元/㎡
80,郑州市,12091元/㎡
81,濮阳市,5444元/㎡
82,许昌市,5348元/㎡
83,信阳市,5080元/㎡
84,洛阳市,4996元/㎡
85,新乡市,4979元/㎡
86,驻马店市,4943元/㎡
87,平顶山市,4907元/㎡
88,周口市,4878元/㎡
89,南阳市,4601元/㎡
90,鹤壁市,4565元/㎡
91,开封市,4496元/㎡
92,焦作市,4118元/㎡
93,漯河市,3890元/㎡
94,商丘市,3874元/㎡
95,安阳市,3870元/㎡
96,三门峡市,3695元/㎡
97,济源市,3333元/㎡
98,武汉市,13875元/㎡
99,宜昌市,6299元/㎡
100,襄阳市,6260元/㎡
101,黄石市,5038元/㎡
102,十堰市,5000元/㎡
103,荆州市,4718元/㎡
104,恩施市,4689元/㎡
105,孝感市,4268元/㎡
106,鄂州市,3996元/㎡
107,黄冈市,3650元/㎡
108,荆门市,3621元/㎡
109,随州市,3548元/㎡
110,咸宁市,2889元/㎡
111,长沙市,7601元/㎡
112,岳阳市,5208元/㎡
113,常德市,4848元/㎡
114,株洲市,4712元/㎡
115,湘潭市,4427元/㎡
116,邵阳市,4204元/㎡
117,郴州市,4004元/㎡
118,益阳市,3988元/㎡
119,怀化市,3904元/㎡
120,张家界市,3728元/㎡
121,永州市,3699元/㎡
122,衡阳市,3687元/㎡
123,娄底市,3194元/㎡
124,南京市,24867元/㎡
125,苏州市,16181元/㎡
126,昆山市,10706元/㎡
127,南通市,8716元/㎡
128,扬州市,8597元/㎡
129,无锡市,8300元/㎡
130,常州市,8202元/㎡
131,泰州市,7285元/㎡
132,镇江市,7240元/㎡
133,徐州市,6761元/㎡
134,盐城市,6607元/㎡
135,连云港市,6458元/㎡
136,淮安市,5740元/㎡
137,沭阳市,5500元/㎡
138,宿迁市,5085元/㎡
139,南昌市,9987元/㎡
140,上饶市,7012元/㎡
141,赣州市,6024元/㎡
142,抚州市,5687元/㎡
143,九江市,5249元/㎡
144,吉安市,5054元/㎡
145,宜春市,4123元/㎡
146,景德镇市,3794元/㎡
147,萍乡市,3720元/㎡
148,长春市,6837元/㎡
149,吉林市,5434元/㎡
150,延边市,4710元/㎡
151,松原市,4376元/㎡
152,白城市,4157元/㎡
153,辽源市,4000元/㎡
154,通化市,3856元/㎡
155,四平市,3678元/㎡
156,大连市,9854元/㎡
157,沈阳市,7242元/㎡
158,丹东市,5519元/㎡
159,锦州市,5104元/㎡
160,葫芦岛市,4897元/㎡
161,本溪市,4848元/㎡
162,辽阳市,4553元/㎡
163,抚顺市,4488元/㎡
164,鞍山市,4240元/㎡
165,盘锦市,3981元/㎡
166,铁岭市,3959元/㎡
167,阜新市,3793元/㎡
168,营口市,1754元/㎡
169,呼和浩特市,6651元/㎡
170,赤峰市,6122元/㎡
171,包头市,5861元/㎡
172,巴彦淖尔市市,5333元/㎡
173,通辽市,5110元/㎡
174,呼伦贝尔市,4590元/㎡
175,鄂尔多斯市,4478元/㎡
176,乌海市,4038元/㎡
177,银川市,5328元/㎡
178,中卫市,4444元/㎡
179,石嘴山市,3034元/㎡
180,太原市,8308元/㎡
181,晋城市,6250元/㎡
182,长治市,5717元/㎡
183,晋中市,5108元/㎡
184,临汾市,4827元/㎡
185,忻州市,4733元/㎡
186,运城市,3764元/㎡
187,朔州市,3591元/㎡
188,大同市,3452元/㎡
189,青岛市,13523元/㎡
190,济南市,11667元/㎡
191,烟台市,8109元/㎡
192,泰安市,7000元/㎡
193,东营市,6249元/㎡
194,威海市,6005元/㎡
195,日照市,5924元/㎡
196,淄博市,5893元/㎡
197,济宁市,5683元/㎡
198,聊城市,5577元/㎡
199,德州市,5344元/㎡
200,莱芜市,5156元/㎡
201,滨州市,5000元/㎡
202,潍坊市,4870元/㎡
203,菏泽市,4751元/㎡
204,临沂市,4663元/㎡
205,枣庄市,4446元/㎡
206,成都市,8591元/㎡
207,凉山市,6953元/㎡
208,宜宾市,6937元/㎡
209,遂宁市,6155元/㎡
210,自贡市,5815元/㎡
211,广安市,5268元/㎡
212,绵阳市,5233元/㎡
213,泸州市,4950元/㎡
214,达州市,4893元/㎡
215,南充市,4875元/㎡
216,内江市,4837元/㎡
217,巴中市,4333元/㎡
218,资阳市,4326元/㎡
219,乐山市,4201元/㎡
220,攀枝花市,3995元/㎡
221,眉山市,3769元/㎡
222,德阳市,3696元/㎡
223,广元市,2327元/㎡
224,乌鲁木齐市,6662元/㎡
225,石河子市,5907元/㎡
226,昌吉市,5090元/㎡
227,克拉玛依市,5000元/㎡
228,喀什市,3885元/㎡
229,哈密市,3746元/㎡
230,拉萨市,7609元/㎡
231,昆明市,8485元/㎡
232,大理市,6536元/㎡
233,玉溪市,6428元/㎡
234,保山市,5290元/㎡
235,丽江市,5090元/㎡
236,西双版纳市,4941元/㎡
237,普洱市,4724元/㎡
238,楚雄市,4386元/㎡
239,红河市,3965元/㎡
240,曲靖市,3848元/㎡
241,文山市,3770元/㎡
242,杭州市,21655元/㎡
243,温州市,17984元/㎡
244,丽水市,14187元/㎡
245,宁波市,13857元/㎡
246,舟山市,10769元/㎡
247,金华市,10392元/㎡
248,台州市,10106元/㎡
249,绍兴市,9097元/㎡
250,嘉兴市,8895元/㎡
251,湖州市,8329元/㎡
252,衢州市,8039元/㎡
253,义乌市,5888元/㎡
254,北京市,57597元/㎡
255,上海市,52142元/㎡
256,天津市,23220元/㎡
257,重庆市,7493元/㎡
