,城市,2012平均房价
0,合肥市,6642元/㎡
1,厦门市,17185元/㎡
2,福州市,11750元/㎡
3,泉州市,8266元/㎡
4,兰州市,8065元/㎡
5,深圳市,19298元/㎡
6,广州市,16555元/㎡
7,珠海市,9455元/㎡
8,东莞市,6731元/㎡
9,佛山市,6003元/㎡
10,惠州市,5698元/㎡
11,中山市,4885元/㎡
12,南宁市,6822元/㎡
13,桂林市,5538元/㎡
14,贵阳市,5123元/㎡
15,秦皇岛市,7797元/㎡
16,石家庄市,7723元/㎡
17,廊坊市,6983元/㎡
18,唐山市,6787元/㎡
19,保定市,6013元/㎡
20,邯郸市,6000元/㎡
21,哈尔滨市,7000元/㎡
22,郑州市,6937元/㎡
23,洛阳市,5095元/㎡
24,武汉市,7998元/㎡
25,宜昌市,6407元/㎡
26,长沙市,6539元/㎡
27,南京市,14750元/㎡
28,苏州市,10089元/㎡
29,南通市,9408元/㎡
30,扬州市,8366元/㎡
31,泰州市,7975元/㎡
32,无锡市,7336元/㎡
33,昆山市,7075元/㎡
34,徐州市,6833元/㎡
35,镇江市,6578元/㎡
36,常州市,5536元/㎡
37,南昌市,8123元/㎡
38,长春市,6551元/㎡
39,吉林市,5758元/㎡
40,大连市,10540元/㎡
41,沈阳市,8030元/㎡
42,呼和浩特市,6817元/㎡
43,银川市,5613元/㎡
44,太原市,7625元/㎡
45,青岛市,11743元/㎡
46,济南市,8485元/㎡
47,烟台市,7671元/㎡
48,威海市,5648元/㎡
49,潍坊市,4947元/㎡
50,成都市,8450元/㎡
51,绵阳市,5025元/㎡
52,昆明市,8567元/㎡
53,杭州市,18713元/㎡
54,宁波市,15342元/㎡
55,绍兴市,7268元/㎡
56,北京市,30158元/㎡
57,上海市,18713元/㎡
58,天津市,18713元/㎡
59,重庆市,18713元/㎡
