,Unnamed: 0,城市,2019平均房价
274,274,开封市,6721元/㎡
275,275,鹤壁市,6775元/㎡
276,276,濮阳市,7029元/㎡
277,277,南阳市,7338元/㎡
278,278,洛阳市,8154元/㎡
279,279,郑州市,13791元/㎡
280,280,武汉市,17302元/㎡
281,281,襄阳市,8862元/㎡
282,282,宜昌市,8408元/㎡
283,283,黄石市,6529元/㎡
284,284,恩施市,6295元/㎡
285,285,荆州市,6210元/㎡
286,286,十堰市,5853元/㎡
287,287,鄂州市,5783元/㎡
288,288,孝感市,5543元/㎡
289,289,仙桃市,5482元/㎡
290,290,天门市,5475元/㎡
291,291,随州市,5240元/㎡
292,292,黄冈市,5135元/㎡
293,293,荆门市,4998元/㎡
294,294,潜江市,4893元/㎡
295,295,咸宁市,4443元/㎡
296,296,咸宁市,4443元/㎡
297,297,潜江市,4893元/㎡
298,298,荆门市,4998元/㎡
299,299,黄冈市,5135元/㎡
300,300,随州市,5240元/㎡
301,301,天门市,5475元/㎡
302,302,仙桃市,5482元/㎡
303,303,孝感市,5543元/㎡
304,304,鄂州市,5783元/㎡
305,305,十堰市,5853元/㎡
306,306,荆州市,6210元/㎡
307,307,恩施市,6295元/㎡
308,308,黄石市,6529元/㎡
309,309,宜昌市,8408元/㎡
310,310,襄阳市,8862元/㎡
311,311,武汉市,17302元/㎡
312,312,长沙市,10383元/㎡
313,313,岳阳市,6794元/㎡
314,314,张家界市,6707元/㎡
315,315,常德市,6548元/㎡
316,316,株洲市,6071元/㎡
317,317,永州市,6006元/㎡
318,318,郴州市,5892元/㎡
319,319,怀化市,5491元/㎡
320,320,湘潭市,5330元/㎡
321,321,衡阳市,5297元/㎡
322,322,湘西市,5237元/㎡
323,323,益阳市,5165元/㎡
324,324,娄底市,5117元/㎡
325,325,邵阳市,5108元/㎡
326,326,邵阳市,5108元/㎡
327,327,娄底市,5117元/㎡
328,328,益阳市,5165元/㎡
329,329,湘西市,5237元/㎡
330,330,衡阳市,5297元/㎡
331,331,湘潭市,5330元/㎡
332,332,怀化市,5491元/㎡
333,333,郴州市,5892元/㎡
334,334,永州市,6006元/㎡
335,335,株洲市,6071元/㎡
336,336,常德市,6548元/㎡
337,337,张家界市,6707元/㎡
338,338,岳阳市,6794元/㎡
339,339,长沙市,10383元/㎡
340,340,南京市,29162元/㎡
341,341,苏州市,18899元/㎡
342,342,昆山市,15255元/㎡
343,343,常州市,13576元/㎡
344,344,扬州市,12532元/㎡
345,345,南通市,12168元/㎡
346,346,无锡市,12146元/㎡
347,347,泰州市,10618元/㎡
348,348,徐州市,10398元/㎡
349,349,镇江市,9640元/㎡
350,350,盐城市,9004元/㎡
351,351,大丰市,8712元/㎡
352,352,连云港市,8487元/㎡
353,353,淮安市,8427元/㎡
354,354,沭阳市,8061元/㎡
355,355,宿迁市,7846元/㎡
356,356,宿迁市,7846元/㎡
357,357,沭阳市,8061元/㎡
358,358,淮安市,8427元/㎡
359,359,连云港市,8487元/㎡
360,360,大丰市,8712元/㎡
361,361,盐城市,9004元/㎡
362,362,镇江市,9640元/㎡
363,363,徐州市,10398元/㎡
364,364,泰州市,10618元/㎡
365,365,无锡市,12146元/㎡
366,366,南通市,12168元/㎡
367,367,扬州市,12532元/㎡
368,368,常州市,13576元/㎡
369,369,昆山市,15255元/㎡
370,370,苏州市,18899元/㎡
371,371,南京市,29162元/㎡
372,372,南昌市,12375元/㎡
373,373,赣州市,8105元/㎡
374,374,吉安市,7970元/㎡
375,375,抚州市,7281元/㎡
376,376,上饶市,7169元/㎡
377,377,宜春市,6869元/㎡
378,378,九江市,6837元/㎡
379,379,鹰潭市,6192元/㎡
380,380,景德镇市,6142元/㎡
381,381,新余市,5555元/㎡
382,382,萍乡市,4939元/㎡
383,383,萍乡市,4939元/㎡
384,384,新余市,5555元/㎡
385,385,景德镇市,6142元/㎡
386,386,鹰潭市,6192元/㎡
387,387,九江市,6837元/㎡
388,388,宜春市,6869元/㎡
389,389,上饶市,7169元/㎡
390,390,抚州市,7281元/㎡
391,391,吉安市,7970元/㎡
392,392,赣州市,8105元/㎡
393,393,南昌市,12375元/㎡
394,394,长春市,9581元/㎡
395,395,吉林市,6987元/㎡
396,396,延边市,5305元/㎡
397,397,通化市,5156元/㎡
398,398,四平市,5039元/㎡
399,399,白城市,5002元/㎡
400,400,辽源市,4572元/㎡
401,401,松原市,4563元/㎡
402,402,白山市,4119元/㎡
403,403,白山市,4119元/㎡
404,404,松原市,4563元/㎡
405,405,辽源市,4572元/㎡
406,406,白城市,5002元/㎡
407,407,四平市,5039元/㎡
408,408,通化市,5156元/㎡
409,409,延边市,5305元/㎡
410,410,吉林市,6987元/㎡
411,411,长春市,9581元/㎡
412,412,大连市,13200元/㎡
413,413,沈阳市,9390元/㎡
414,414,瓦房店市,7327元/㎡
415,415,丹东市,6560元/㎡
416,416,葫芦岛市,5434元/㎡
417,417,本溪市,5330元/㎡
418,418,锦州市,5097元/㎡
419,419,辽阳市,4715元/㎡
420,420,营口市,4622元/㎡
421,421,朝阳市,4600元/㎡
422,422,抚顺市,4539元/㎡
423,423,鞍山市,4326元/㎡
424,424,盘锦市,4037元/㎡
425,425,铁岭市,3992元/㎡
426,426,阜新市,3785元/㎡
427,427,阜新市,3785元/㎡
428,428,铁岭市,3992元/㎡
429,429,盘锦市,4037元/㎡
