,城市,2018平均房价
0,合肥市,14217元/㎡
1,芜湖市,10316元/㎡
2,黄山市,9061元/㎡
3,巢湖市,8846元/㎡
4,阜阳市,8746元/㎡
5,安庆市,8673元/㎡
6,铜陵市,8550元/㎡
7,池州市,8400元/㎡
8,宣城市,8321元/㎡
9,六安市,7746元/㎡
10,蚌埠市,6858元/㎡
11,马鞍山市,6514元/㎡
12,滁州市,6490元/㎡
13,淮北市,6290元/㎡
14,宿州市,6283元/㎡
15,亳州市,6108元/㎡
16,淮南市,5738元/㎡
17,厦门市,43565元/㎡
18,福州市,24698元/㎡
19,莆田市,13594元/㎡
20,漳州市,12371元/㎡
21,泉州市,11219元/㎡
22,龙岩市,10967元/㎡
23,宁德市,10044元/㎡
24,南平市,8278元/㎡
25,三明市,8232元/㎡
26,兰州市,11636元/㎡
27,天水市,8136元/㎡
28,庆阳市,7174元/㎡
29,武威市,6641元/㎡
30,平凉市,6543元/㎡
31,酒泉市,5328元/㎡
32,定西市,4894元/㎡
33,白银市,4866元/㎡
34,深圳市,53205元/㎡
35,广州市,32088元/㎡
36,珠海市,20778元/㎡
37,东莞市,14813元/㎡
38,中山市,11747元/㎡
39,佛山市,10908元/㎡
40,惠州市,10013元/㎡
41,顺德市,8888元/㎡
42,汕头市,8750元/㎡
43,潮州市,8593元/㎡
44,肇庆市,7265元/㎡
45,茂名市,7195元/㎡
46,江门市,7140元/㎡
47,清远市,7119元/㎡
48,梅州市,7038元/㎡
49,湛江市,6770元/㎡
50,汕尾市,6673元/㎡
51,台山市,6494元/㎡
52,河源市,6445元/㎡
53,揭阳市,6171元/㎡
54,云浮市,6043元/㎡
55,阳江市,5870元/㎡
56,韶关市,5512元/㎡
57,阳春市,5390元/㎡
58,南宁市,10538元/㎡
59,柳州市,8683元/㎡
60,北海市,6743元/㎡
61,贵港市,6542元/㎡
62,桂林市,6503元/㎡
63,防城港市,6433元/㎡
64,玉林市,5645元/㎡
65,崇左市,5539元/㎡
66,贺州市,5306元/㎡
67,河池市,5215元/㎡
68,百色市,5091元/㎡
69,梧州市,4878元/㎡
70,钦州市,4185元/㎡
71,贵阳市,9743元/㎡
72,遵义市,6274元/㎡
73,六盘水市,4424元/㎡
74,西宁市,7493元/㎡
75,石家庄市,15596元/㎡
76,廊坊市,13981元/㎡
77,保定市,11365元/㎡
78,张家口市,9882元/㎡
79,邯郸市,9734元/㎡
80,承德市,9308元/㎡
81,秦皇岛市,9258元/㎡
82,沧州市,8916元/㎡
83,唐山市,8229元/㎡
84,邢台市,8165元/㎡
85,衡水市,7812元/㎡
86,定州市,7162元/㎡
87,哈尔滨市,9622元/㎡
88,齐齐哈尔市,5437元/㎡
89,大庆市,5291元/㎡
90,牡丹江市,5124元/㎡
91,佳木斯市,4388元/㎡
92,绥化市,3809元/㎡
93,鸡西市,3553元/㎡
94,郑州市,13582元/㎡
95,洛阳市,7735元/㎡
96,南阳市,6999元/㎡
97,濮阳市,6933元/㎡
98,开封市,6687元/㎡
99,鹤壁市,6678元/㎡
100,新乡市,6668元/㎡
101,驻马店市,6433元/㎡
102,信阳市,6379元/㎡
103,许昌市,6370元/㎡
104,济源市,6107元/㎡
105,安阳市,5689元/㎡
106,商丘市,5646元/㎡
107,平顶山市,5368元/㎡
108,漯河市,5341元/㎡
109,三门峡市,5100元/㎡
110,焦作市,5098元/㎡
111,周口市,4814元/㎡
112,武汉市,17586元/㎡
113,宜昌市,8885元/㎡
114,襄阳市,8846元/㎡
115,黄石市,6956元/㎡
116,荆州市,6311元/㎡
117,仙桃市,6204元/㎡
118,潜江市,6095元/㎡
119,恩施市,6077元/㎡
120,孝感市,5898元/㎡
121,鄂州市,5839元/㎡
122,十堰市,5791元/㎡
123,黄冈市,5576元/㎡
124,随州市,5401元/㎡
125,荆门市,5016元/㎡
126,咸宁市,4453元/㎡
127,长沙市,10627元/㎡
128,岳阳市,7148元/㎡
129,张家界市,6916元/㎡
130,常德市,6799元/㎡
131,益阳市,6175元/㎡
132,永州市,6140元/㎡
133,株洲市,6088元/㎡
134,郴州市,5909元/㎡
135,怀化市,5592元/㎡
136,衡阳市,5506元/㎡
137,娄底市,5344元/㎡
138,湘潭市,5288元/㎡
139,邵阳市,5123元/㎡
140,湘西市,4750元/㎡
141,南京市,27568元/㎡
142,苏州市,16943元/㎡
143,昆山市,13764元/㎡
144,常州市,13426元/㎡
145,扬州市,12480元/㎡
146,南通市,11772元/㎡
147,无锡市,11030元/㎡
148,泰州市,10258元/㎡
149,徐州市,10132元/㎡
150,镇江市,9700元/㎡
151,盐城市,9349元/㎡
152,淮安市,8582元/㎡
153,连云港市,8510元/㎡
154,沭阳市,7953元/㎡
155,宿迁市,7698元/㎡
156,南昌市,12248元/㎡
157,赣州市,8923元/㎡
158,吉安市,8137元/㎡
159,抚州市,7872元/㎡
160,上饶市,7759元/㎡
161,九江市,7232元/㎡
162,宜春市,6733元/㎡
163,景德镇市,6335元/㎡
164,新余市,5405元/㎡
165,萍乡市,4904元/㎡
166,长春市,9195元/㎡
167,吉林市,6599元/㎡
168,延边市,5379元/㎡
169,白城市,5208元/㎡
170,通化市,5072元/㎡
171,四平市,5014元/㎡
172,松原市,4573元/㎡
173,辽源市,4188元/㎡
174,白山市,3817元/㎡
175,大连市,11893元/㎡
176,沈阳市,9005元/㎡
177,丹东市,6324元/㎡
178,葫芦岛市,5711元/㎡
179,本溪市,5371元/㎡
180,锦州市,5118元/㎡
181,营口市,4847元/㎡
182,朝阳市,4683元/㎡
183,辽阳市,4577元/㎡
184,抚顺市,4560元/㎡
185,鞍山市,4322元/㎡
186,铁岭市,4094元/㎡
187,盘锦市,4020元/㎡
188,阜新市,3742元/㎡
189,呼和浩特市,10551元/㎡
190,赤峰市,8803元/㎡
191,包头市,7382元/㎡
192,通辽市,6558元/㎡
193,鄂尔多斯市,6249元/㎡
194,巴彦淖尔市市,5745元/㎡
195,乌兰察布市,5402元/㎡
196,兴安盟市,5017元/㎡
197,乌海市,4933元/㎡
198,海拉尔市,4831元/㎡
199,锡林郭勒盟市,4706元/㎡
200,呼伦贝尔市,3894元/㎡
201,北京市,59868元/㎡
202,上海市,49446元/㎡
203,天津市,22188元/㎡
204,重庆市,12080元/㎡
