城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口占比,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  渭南市,-13.7346375,-2.53E-02,-23.99110368,-4.48E-02,-34.95689868,-6.60E-02,-33.81206889,-6.36E-02,-27.66054358,-5.18E-02,-21.57480111,-4.03E-02,-20.42464766,-3.81E-02
  延安市,-10.36526865,-4.77E-02,-12.24899978,-5.62E-02,-13.76680969,-6.28E-02,-15.78910775,-7.19E-02,-13.28172657,-6.01E-02,-13.21864105,-5.95E-02,-12.79482402,-5.71E-02
  汉中市,-30.32133683,-8.63E-02,-34.72248826,-1.00E-01,-40.65690165,-1.19E-01,-42.61733382,-1.25E-01,-41.27102532,-1.20E-01,-41.72753169,-1.22E-01,-39.77521803,-1.16E-01
  榆林市,-24.37808204,-7.28E-02,-29.76905488,-8.89E-02,-35.36909506,-1.06E-01,-39.1331524,-1.17E-01,-36.09041882,-1.07E-01,-38.20909081,-1.13E-01,-42.84658285,-1.26E-01
  安康市,-37.69145827,-1.42E-01,-41.18376247,-1.57E-01,-42.01929961,-1.60E-01,-42.77931984,-1.63E-01,-42.21983382,-1.60E-01,-40.19581407,-1.52E-01,-38.69889833,-1.46E-01
  商洛市,-3.84162682,-1.61E-02,-10.65848718,-4.55E-02,-13.93803997,-5.96E-02,-14.88830193,-6.36E-02,-16.85323172,-7.18E-02,-15.60170926,-6.63E-02,-16.54297694,-7.00E-02
  兰州市,8.255649369,2.49E-02,0.018411009,1.00E-04,38.6989087,1.07E-01,40.7045165,1.12E-01,-9.371833635,-2.57E-02,45.99861686,1.25E-01,45.93020406,1.24E-01
  嘉峪关市,0.165130837,7.90E-03,0.294000599,1.33E-02,3.749876611,1.61E-01,3.578994641,1.53E-01,-0.259894071,-1.09E-02,4.01012306,1.65E-01,3.490174167,1.43E-01
  天水市,-16.86009494,-4.92E-02,-23.92513588,-6.98E-02,-42.50202177,-1.30E-01,-47.83952196,-1.46E-01,-34.68496089,-1.05E-01,-36.42114973,-1.10E-01,-39.25078652,-1.18E-01
  武威市,-7.441918951,-3.89E-02,24.13177102,1.12E-01,-10.18444726,-5.60E-02,-7.931499547,-4.36E-02,-7.712862626,-4.26E-02,-8.54455715,-4.71E-02,-9.189006143,-5.05E-02
  张掖市,-1.882408857,-1.47E-02,-6.450723934,-5.19E-02,-10.64078756,-8.85E-02,-10.18853082,-8.45E-02,-8.50976149,-7.02E-02,-8.414841063,-6.92E-02,-8.801460478,-7.20E-02
  平凉市,-9.906756939,-4.51E-02,-11.05905179,-5.01E-02,-25.65225225,-1.24E-01,-26.07496636,-1.25E-01,-24.73880544,-1.18E-01,-45.03273121,-2.40E-01,-23.94624271,-1.14E-01
  庆阳市,-8.5311409,-3.38E-02,-38.05119713,-1.72E-01,-40.43309275,-1.83E-01,-40.64193116,-1.83E-01,-43.19112906,-1.94E-01,-44.61344223,-2.00E-01,-46.37749682,-2.07E-01
  定西市,-5.643760855,-1.92E-02,-6.225965309,-2.12E-02,-31.99635628,-1.18E-01,-22.58282457,-8.25E-02,-24.26122254,-8.75E-02,-23.34401474,-8.41E-02,-24.59704003,-8.84E-02
  陇南市,-16.93713338,-6.46E-02,-19.41589902,-7.40E-02,22.95177327,7.50E-02,-28.37190373,-1.11E-01,-25.08585193,-9.72E-02,-26.85817614,-1.04E-01,-41.79326331,-1.70E-01
  西宁市,25.20467527,1.15E-01,0.137457436,6.00E-04,-0.969904729,-4.40E-03,25.26970605,1.13E-01,25.31606433,1.11E-01,28.84794825,1.25E-01,29.19132748,1.26E-01
  银川市,12.25782515,7.30E-02,26.51375241,1.43E-01,39.31051793,1.95E-01,36.40430229,1.79E-01,14.58269388,6.92E-02,35.4234184,1.65E-01,33.76156311,1.55E-01
  石嘴山市,-1.434952767,-1.96E-02,-2.279879018,-3.14E-02,-2.046642317,-2.80E-02,-0.419486736,-5.70E-03,0.099104933,1.30E-03,3.468108174,4.45E-02,4.157583231,5.25E-02
  固原市,-0.88180954,-5.90E-03,-1.190168752,-7.90E-03,-31.28942976,-2.52E-01,-28.63188842,-2.28E-01,-29.72678879,-2.41E-01,-27.81051472,-2.28E-01,-28.39462475,-2.34E-01
  中卫市,-3.324803836,-2.93E-02,-7.072808412,-6.37E-02,-6.282093355,-5.56E-02,-9.991615084,-9.08E-02,-9.287197389,-8.23E-02,-6.413780737,-5.64E-02,-6.231682967,-5.43E-02
  乌鲁木齐市,43.13044888,1.52E-01,67.97099909,2.19E-01,71.60034189,2.23E-01,78.20011736,2.33E-01,82.60159028,2.36E-01,87.17051116,2.46E-01,83.96115365,2.39E-01
  克拉玛依市,15.85585057,2.87E-01,21.0920826,3.60E-01,24.29561984,3.91E-01,22.44424595,3.74E-01,16.37303049,2.96E-01,18.07294961,3.76E-01,15.22703868,3.37E-01
