城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
重庆市,-426.5654974,-14.97%,-431.4468111,-15.02%,-427.9536232,-14.75%,-411.396094,-14.03%,-394.5103448,-13.24%,-367.8320491,-12.24%,-328.1006528,-10.71%
  成都市,138.9737768,10.87%,-4.701086374,-0.41%,242.6232079,17.26%,239.122567,16.93%,225.566242,15.71%,226.2016527,15.55%,182.3712968,11.53%
  自贡市,-47.51331741,-16.91%,-44.98784887,-16.01%,-58.94457579,-21.98%,-58.63782902,-21.73%,-55.78755908,-20.34%,-51.65926653,-18.73%,-49.45145118,-17.82%
  攀枝花市,4.407910946,3.80%,11.91426575,9.66%,10.0495663,8.25%,10.64057724,8.68%,11.36955525,9.22%,12.56969445,10.20%,12.40933581,10.06%
  泸州市,-64.80285851,-14.99%,-74.23951132,-17.34%,-80.83091991,-19.15%,-81.44139491,-19.22%,-84.10448491,-19.80%,-78.92421391,-18.49%,-78.42337015,-18.26%
  德阳市,-23.14475459,-6.34%,-25.51554174,-7.02%,-30.11453647,-8.36%,-35.3434831,-9.92%,-40.76785176,-11.59%,-38.78017965,-11.04%,-40.34871075,-11.47%
  绵阳市,-48.69160368,-9.82%,-63.03127263,-13.16%,-81.69780625,-17.69%,-47.75733294,-9.60%,-78.00585255,-16.57%,-69.91592325,-14.70%,-65.85736349,-13.74%
  广元市,27008.51242,98.86%,-36.95995745,-13.49%,-62.58739599,-25.16%,-60.09882966,-23.89%,-54.10144685,-21.13%,-45.05551863,-17.31%,-41.75414805,-15.86%
  遂宁市,-29.84594313,-8.36%,-39.84578149,-11.66%,-57.05422064,-17.52%,-49.7131146,-15.23%,-52.52587583,-16.02%,-50.12534089,-15.25%,-48.60195982,-14.75%
  内江市,-29.92400353,-7.56%,-42.50974698,-11.10%,-55.49745035,-14.97%,-55.24690027,-14.88%,-53.13631382,-14.25%,-46.80830424,-12.53%,-45.67536851,-12.20%
  南充市,-128.5999654,-20.58%,-125.1503663,-19.97%,-127.9318443,-20.36%,-130.3094418,-20.71%,-126.4543045,-19.99%,-107.4312939,-16.92%,-102.6789455,-16.09%
  眉山市,-48.03298923,-16.01%,-51.94731949,-17.48%,-55.38579388,-18.75%,-54.15450932,-18.28%,-54.58814426,-18.29%,-49.59829082,-16.56%,-49.886722,-16.62%
  宜宾市,-88.98555899,-19.95%,-92.40878917,-20.69%,-96.13448248,-21.52%,-100.6074646,-22.56%,-107.5484993,-24.07%,-104.0752143,-23.23%,-106.0060161,-23.56%
  广安市,-99.06711697,-26.71%,-121.5203413,-35.26%,-147.7253062,-46.05%,-147.1745835,-45.80%,-148.9043947,-46.13%,-143.4788359,-44.30%,-141.4267733,-43.44%
  达州市,-84.55983214,-14.76%,-125.2745859,-22.36%,-142.9957129,-26.11%,-146.6697124,-26.72%,-135.9585883,-24.62%,-127.8898447,-23.05%,-125.7331121,-22.52%
  雅安市,-2.626702737,-1.72%,-2.380757971,-1.56%,-4.538497429,-3.00%,-4.321845013,-2.84%,-3.328610409,-2.16%,-0.379729115,-0.25%,-0.669392953,-0.43%
  巴中市,-85.44589825,-27.06%,-62.05571826,-19.04%,-60.25795073,-18.31%,-59.79590628,-18.11%,-51.12878744,-15.40%,-46.97569116,-14.13%,-43.19342065,-13.02%
  资阳市,-77.67220989,-18.33%,-105.8514011,-26.78%,-139.1345297,-38.14%,-144.9721695,-40.17%,-151.3813289,-42.53%,-147.8508868,-41.55%,-102.120966,-40.38%
  贵阳市,28.25788896,7.15%,93.36438884,21.69%,60.03534309,13.77%,67.74641715,15.32%,71.00037806,15.64%,67.10243369,14.62%,64.9298973,13.94%
  遵义市,-64.01942413,-9.32%,-170.093509,-27.70%,-160.0815603,-26.16%,-160.5527203,-26.28%,-172.1331846,-28.00%,-175.9938516,-28.51%,-180.9712987,-29.14%
  昆明市,166.3301038,23.75%,48.01298063,7.60%,102.282944,15.83%,107.4735602,16.51%,109.752205,16.62%,109.5776968,16.47%,110.2534447,16.45%
  玉溪市,13.7880616,6.04%,-0.951939628,-0.41%,-0.599409174,-0.26%,18.29884286,7.87%,18.54794005,7.91%,19.64155646,8.33%,19.84888696,8.38%
  保山市,-3.178506465,-1.29%,-3.488805043,-1.40%,-2.609996065,-1.04%,-2.332220562,-0.92%,-2.755943984,-1.08%,-1.704877821,-0.66%,-2.098092183,-0.81%
  昭通市,-29.16995851,-5.48%,-46.44241902,-8.80%,-55.43765912,-10.58%,-55.56757219,-10.53%,-57.27083333,-10.66%,-58.43102237,-10.80%,-63.75021368,-11.69%
  临沧市,-0.690118577,-0.29%,-1.776906987,-0.74%,8.28477521,3.40%,9.132206455,3.72%,10.79513629,4.34%,14.78827165,5.91%,14.44581393,5.75%
  铜川市,-1.279376752,-1.52%,-2.03232273,-2.44%,-1.841585218,-2.20%,-1.350497604,-1.61%,0.295880888,0.35%,0.923812601,1.09%,0.66891286,0.79%
  宝鸡市,-4.087070519,-1.09%,-7.452731588,-1.99%,-10.87915387,-2.92%,-10.70497475,-2.87%,-8.914092735,-2.38%,-8.711554715,-2.32%,-7.085326363,-1.88%
  咸阳市,-15.37592633,-3.07%,-31.28766873,-6.40%,-35.15191164,-7.17%,-35.8491589,-7.29%,-31.75348931,-6.42%,-31.13395984,-6.27%,-32.04723426,-6.44%
  渭南市,-13.7346375,-2.53%,-23.99110368,-4.48%,-34.95689868,-6.60%,-33.81206889,-6.36%,-27.66054358,-5.18%,-21.57480111,-4.03%,-20.42464766,-3.81%
  延安市,-10.36526865,-4.77%,-12.24899978,-5.62%,-13.76680969,-6.28%,-15.78910775,-7.19%,-13.28172657,-6.01%,-13.21864105,-5.95%,-12.79482402,-5.71%
  汉中市,-30.32133683,-8.63%,-34.72248826,-10.01%,-40.65690165,-11.90%,-42.61733382,-12.47%,-41.27102532,-12.04%,-41.72753169,-12.15%,-39.77521803,-11.56%
  榆林市,-24.37808204,-7.28%,-29.76905488,-8.89%,-35.36909506,-10.55%,-39.1331524,-11.67%,-36.09041882,-10.69%,-38.20909081,-11.26%,-42.84658285,-12.63%
  安康市,-37.69145827,-14.18%,-41.18376247,-15.65%,-42.01929961,-15.97%,-42.77931984,-16.25%,-42.21983382,-15.99%,-40.19581407,-15.19%,-38.69889833,-14.59%
  商洛市,-3.84162682,-1.61%,-10.65848718,-4.55%,-13.93803997,-5.96%,-14.88830193,-6.36%,-16.85323172,-7.18%,-15.60170926,-6.63%,-16.54297694,-7.00%
  兰州市,8.255649369,2.49%,0.018411009,0.01%,38.6989087,10.69%,40.7045165,11.24%,-9.371833635,-2.57%,45.99861686,12.50%,45.93020406,12.42%
  嘉峪关市,0.165130837,0.79%,0.294000599,1.33%,3.749876611,16.13%,3.578994641,15.31%,-0.259894071,-1.09%,4.01012306,16.53%,3.490174167,14.25%
  天水市,-16.86009494,-4.92%,-23.92513588,-6.98%,-42.50202177,-12.99%,-47.83952196,-14.59%,-34.68496089,-10.52%,-36.42114973,-11.01%,-39.25078652,-11.83%
  武威市,-7.441918951,-3.89%,24.13177102,11.20%,-10.18444726,-5.60%,-7.931499547,-4.36%,-7.712862626,-4.26%,-8.54455715,-4.71%,-9.189006143,-5.05%
  张掖市,-1.882408857,-1.47%,-6.450723934,-5.19%,-10.64078756,-8.85%,-10.18853082,-8.45%,-8.50976149,-7.02%,-8.414841063,-6.92%,-8.801460478,-7.20%
  平凉市,-9.906756939,-4.51%,-11.05905179,-5.01%,-25.65225225,-12.37%,-26.07496636,-12.54%,-24.73880544,-11.84%,-45.03273121,-23.95%,-23.94624271,-11.40%
  庆阳市,-8.5311409,-3.38%,-38.05119713,-17.21%,-40.43309275,-18.25%,-40.64193116,-18.34%,-43.19112906,-19.43%,-44.61344223,-20.03%,-46.37749682,-20.74%
  定西市,-5.643760855,-1.92%,-6.225965309,-2.12%,-31.99635628,-11.84%,-22.58282457,-8.25%,-24.26122254,-8.75%,-23.34401474,-8.41%,-24.59704003,-8.84%
  陇南市,-16.93713338,-6.46%,-19.41589902,-7.40%,22.95177327,7.50%,-28.37190373,-11.06%,-25.08585193,-9.72%,-26.85817614,-10.37%,-41.79326331,-16.97%
  西宁市,25.20467527,11.50%,0.137457436,0.06%,-0.969904729,-0.44%,25.26970605,11.29%,25.31606433,11.11%,28.84794825,12.54%,29.19132748,12.57%
  银川市,12.25782515,7.30%,26.51375241,14.31%,39.31051793,19.51%,36.40430229,17.88%,14.58269388,6.92%,35.4234184,16.50%,33.76156311,15.50%
  石嘴山市,-1.434952767,-1.96%,-2.279879018,-3.14%,-2.046642317,-2.80%,-0.419486736,-0.57%,0.099104933,0.13%,3.468108174,4.45%,4.157583231,5.25%
  固原市,-0.88180954,-0.59%,-1.190168752,-0.79%,-31.28942976,-25.23%,-28.63188842,-22.80%,-29.72678879,-24.06%,-27.81051472,-22.80%,-28.39462475,-23.35%
  中卫市,-3.324803836,-2.93%,-7.072808412,-6.37%,-6.282093355,-5.56%,-9.991615084,-9.08%,-9.287197389,-8.23%,-6.413780737,-5.64%,-6.231682967,-5.43%
  乌鲁木齐市,43.13044888,15.17%,67.97099909,21.86%,71.60034189,22.31%,78.20011736,23.27%,82.60159028,23.63%,87.17051116,24.62%,83.96115365,23.86%
  克拉玛依市,15.85585057,28.72%,21.0920826,35.99%,24.29561984,39.13%,22.44424595,37.38%,16.37303049,29.57%,18.07294961,37.62%,15.22703868,33.67%
