城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  泉州市,101.6468262,12.99%,114.7151671,14.34%,127.9727534,15.65%,131.7978705,15.98%,123.8031646,14.74%,125.0547155,14.76%,124.4982773,14.57%
  漳州市,6.726405215,1.41%,4.243883234,0.88%,3.374329303,0.70%,4.502413535,0.92%,-2.902377429,-0.59%,-4.081673565,-0.82%,-5.500546659,-1.09%
  南平市,-20.5953197,-7.11%,-36.62441874,-13.21%,-48.61672835,-18.36%,-49.90010594,-18.90%,-57.19861831,-21.83%,-56.85937171,-21.62%,-56.00012725,-21.13%
  龙岩市,-15.84574432,-5.71%,-58.31095302,-22.77%,-39.27053178,-15.35%,-41.18762829,-16.06%,-48.59966516,-18.80%,-49.37768183,-18.99%,-52.00107803,-19.85%
  宁德市,-32.44900862,-10.69%,-46.27083333,-15.79%,-57.59879767,-20.40%,-58.7997501,-20.74%,-67.70087866,-23.80%,-62.9224228,-22.00%,-63.99932574,-22.22%
  南昌市,-34.12175175,-7.37%,0.41304919,0.08%,2.114346604,0.42%,3.131865792,0.61%,3.517441348,0.67%,6.776920887,1.29%,10.71316699,2.01%
  景德镇市,-3.1328765,-1.99%,-4.868077517,-3.08%,-5.171807685,-3.24%,-6.230944293,-3.88%,-5.333848321,-3.28%,-3.214306167,-1.97%,-4.229480868,-2.57%
  萍乡市,-1.130484902,-0.61%,-2.937363552,-1.59%,-4.117878359,-2.21%,-5.328163119,-2.85%,-9.62163211,-5.10%,-8.784580641,-4.63%,-9.234626409,-4.84%
  九江市,-13.78338691,-2.89%,-25.82844296,-5.47%,-27.63620768,-5.82%,-31.81483968,-6.67%,-33.28764321,-6.94%,-34.96025693,-7.26%,-36.32869537,-7.51%
  新余市,-10.9699493,-9.65%,-4.260054062,-3.75%,-5.070471719,-4.43%,-5.601818282,-4.88%,-6.480072044,-5.59%,-7.140178479,-6.14%,-6.979717216,-5.96%
  鹰潭市,-8.679170778,-7.81%,-9.831046833,-8.77%,-8.981048792,-7.95%,-10.4108224,-9.17%,-12.39906623,-10.83%,-12.21871725,-10.62%,-12.37060995,-10.70%
