城市,2015流动人口,gdp,房地产投资额,高校学生数,2015平均房价
郑州市,-9.330873668999999,67769890.0,17435127,783240,8790.0
开封市,-94.05500709,14920564.0,1359778,120078,4542.0
洛阳市,-31.53532995,32845734.0,3026067,124241,4851.0
平顶山市,-61.19774641,16371717.0,1558193,56458,4917.0
安阳市,-102.5064186,17918143.0,1756600,67227,3894.0
鹤壁市,-6.571562867000001,6821975.0,641346,11370,4797.0
新乡市,-61.34441675,19179974.0,2674900,143053,4391.0
焦作市,-17.77269796,18443139.0,1172471,93824,4329.0
濮阳市,-65.24921909,12536056.0,847731,8110,5508.0
许昌市,-69.18557075,20872312.0,1377766,34647,5091.0
漯河市,-10.05030405,9411601.0,388479,25646,3418.0
南阳市,-177.4711043,26755709.0,1566045,70399,4468.0
商丘市,-222.94072090000003,16976370.0,2113705,77593,3975.0
武汉市,200.19795919999999,100694800.0,23536263,962106,10000.0
黄石市,-20.38958149,12185600.0,1157665,36944,4692.0
十堰市,-9.728906863999999,12008200.0,908044,49675,5000.0
宜昌市,9.741549582000001,31322100.0,1945976,59173,6011.0
襄阳市,-35.94417424,31292600.0,3309413,52559,5473.0
鄂州市,-4.320368229,6866400.0,199113,14800,3103.0
荆门市,-11.48383358,13105900.0,1239792,20409,3608.0
孝感市,-39.98059231,13547200.0,1363527,39230,4056.0
荆州市,-84.08780166,14804900.0,1341739,111829,4533.0
黄冈市,-110.49806299999999,14591500.0,1742698,46365,3599.0
咸宁市,-47.78965695,9642500.0,1091371,40191,2875.0
长沙市,55.25206207,78248074.0,13104995,547514,6448.0
株洲市,-1.329224895,21610147.0,2353310,89289,4557.0
湘潭市,-10.88230775,15705611.0,1471285,122716,3949.0
衡阳市,-63.81772636,23965488.0,1382922,105260,3479.0
邵阳市,-97.99737113,12616104.0,1300072,27553,3986.0
常德市,-26.92179799,25141545.0,1240500,41761,4766.0
益阳市,-44.97538817,12531471.0,1011242,31568,3772.0
郴州市,-50.6440961,18725768.0,1620306,23942,3839.0
永州市,-95.21249228,13014528.0,929817,24916,3533.0
怀化市,-40.75090282,11812366.0,1018686,36614,3716.0
娄底市,-60.6104002,12108581.0,1097111,28316,3028.0
广州市,457.96830430000006,167068719.0,18161529,1019291,20016.0
韶关市,-39.02296671,11134897.0,1194202,36768,4598.0
深圳市,738.1916987000001,160018207.0,10694855,87674,41494.0
珠海市,50.02489853,18672129.0,3882999,132000,14980.0
汕头市,3.546245313,17165113.0,2020509,9845,7479.0
佛山市,346.71835219999997,74415994.0,8327010,46706,6082.0
江门市,57.05387893,20827636.0,3130059,38722,5043.0
湛江市,-100.0344685,22589897.0,1773450,76448,5627.0
茂名市,-169.3265744,23490313.0,950648,33600,5585.0
肇庆市,-30.80346108,18450647.0,1888868,75810,5537.0
惠州市,122.833459,30003674.0,6672975,30183,6125.0
河源市,-60.25771184,7689506.0,1008317,12686,8223.0
阳江市,-40.44412203,11685491.0,946580,8956,4177.0
清远市,-31.7869905,11977408.0,2190646,14072,3834.0
东莞市,641.5887827,58813173.0,5880630,69866,8371.0
中山市,162.2291874,28230069.0,4296557,39964,5925.0
揭阳市,-92.69858108,17804442.0,676957,12242,5526.0
南宁市,-2.660926495,31482973.0,5518214,356236,6748.0
柳州市,9.224647232999999,22085074.0,2775238,69018,6423.0
桂林市,-36.51579597,18270531.0,2152274,186725,5710.0
梧州市,-0.027351165,10648152.0,880466,14240,3662.0
北海市,-9.604926962999999,8560135.0,1574879,21800,4627.0
钦州市,-85.00626599,8549638.0,761769,17749,3286.0
玉林市,-143.8618399,13417462.0,963258,17418,4267.0
重庆市,-394.51034480000004,142626000.0,36302331,740534,6289.0
自贡市,-55.78755908,10734046.0,1012275,44011,5076.0
攀枝花市,11.36955525,8708501.0,751962,29085,4307.0
泸州市,-84.10448491,12597311.0,1925603,44684,4657.0
德阳市,-40.76785176,15156490.0,952305,67148,3670.0
绵阳市,-78.00585255,15798910.0,2107355,119261,4710.0
遂宁市,-52.52587583,8095540.0,863555,14012,5756.0
内江市,-53.13631382,11567723.0,1154264,26661,4750.0
南充市,-126.45430449999999,14320202.0,2291398,70068,4787.0
眉山市,-54.58814426,9448913.0,1511190,23261,3768.0
宜宾市,-107.5484993,14438115.0,1718572,24531,6846.0
广安市,-148.90439469999998,9196124.0,1221080,8590,5150.0
达州市,-135.9585883,13478324.0,949806,22210,4749.0
资阳市,-151.3813289,11956020.0,1647709,2302,4656.0
贵阳市,71.00037806,24972691.0,10176000,359318,5805.0
六盘水市,-40.47566523,10427300.0,879100,10220,4243.0
昆明市,109.752205,37129943.0,14926246,409933,8202.0
曲靖市,-47.34834175,16494046.0,1631752,24356,3776.0
玉溪市,18.54794005,11847251.0,1114551,18442,7142.0
普洱市,5.099956574,4769455.0,487021,9750,4597.0
兰州市,-9.371833635,20009389.0,3365382,414182,8465.0
西宁市,25.31606433,10657811.0,2468649,67257,4379.0
银川市,14.58269388,13886244.0,3888952,93508,4630.0
乌鲁木齐市,82.60159028,24614698.0,3594372,167580,5745.0
克拉玛依市,16.37303049,8476725.0,379552,4897,5041.0
