城市,2013流动人口,gdp,房地产投资额,高校学生数,2013平均房价
北京市,746.443984,178794000.0,31534419,581844,40342.0
天津市,390.6644242,128938800.0,12599969,473114,14519.0
石家庄市,27.99578435,45002098.0,8332125,395542,8639.0
唐山市,22.99734614,58616363.0,5165172,125531,7641.0
秦皇岛市,10.18778965,11393664.0,2133191,155553,7947.0
保定市,-40.88975596,27209000.0,3479088,142124,4934.0
廊坊市,8.774752451,17943291.0,2430705,105079,7267.0
太原市,58.78350478,23114326.0,3647214,358202,8194.0
呼和浩特市,62.54903116,24755700.0,4479900,227190,6714.0
吉林市,1.2579617379999999,24300668.0,2488011,96286,5552.0
哈尔滨市,-0.220039293,45502155.0,7720153,482211,7503.0
上海市,937.0464468,201817200.0,23813574,506596,29978.0
南京市,175.0069189,72015700.0,9719642,651948,17313.0
无锡市,174.7827083,75681500.0,9743675,109363,7312.0
徐州市,-133.66615819999998,40165800.0,3100707,115815,6745.0
常州市,102.02933709999999,39698700.0,5970105,88233,6222.0
苏州市,405.5855423,120116500.0,12633597,192206,10941.0
南通市,-35.88281445,45586700.0,4817428,75402,8218.0
镇江市,43.05546922,26304200.0,2054834,82345,6663.0
泰州市,-43.61093563,27016700.0,2344848,48509,7838.0
杭州市,176.50431640000002,78020058.0,15973611,459181,19131.0
宁波市,185.6490745,65822064.0,8843514,145358,15461.0
嘉兴市,109.25062790000001,28905730.0,4158763,60753,3838.0
绍兴市,-0.374753513,36540321.0,4677089,59758,7917.0
合肥市,44.10080455,41643400.0,9138031,417207,7400.0
福州市,68.19902237,42182887.0,9722667,305386,13841.0
厦门市,173.10011630000002,28170697.0,5188791,143964,23124.0
泉州市,131.79787050000002,47264953.0,3955003,117599,8724.0
南昌市,3.1318657919999997,30005236.0,3443607,509239,9208.0
青岛市,113.5773101,73021100.0,9301099,296645,12822.0
烟台市,47.63054234,52813800.0,5735224,156471,8394.0
潍坊市,39.67558206,40124300.0,4688000,120088,5072.0
威海市,0.107079915,23378600.0,3661903,60588,6096.0
郑州市,-178.1520289,55497869.0,10951368,698190,8229.0
洛阳市,-51.84767411,29811236.0,2745135,118923,5324.0
武汉市,185.2978108,80038200.0,15748605,946991,8825.0
宜昌市,8.836858104,25088900.0,1765896,56588,6751.0
长沙市,51.26831363,63999097.0,10320003,523174,6519.0
广州市,457.2142245,135512072.0,13704511,939208,19208.0
深圳市,763.1403912000001,129500601.0,7368421,75570,24910.0
珠海市,50.91005017,15037642.0,2420776,123206,11365.0
佛山市,346.94330089999994,66130223.0,6384638,45778,6279.0
惠州市,123.4843689,23675499.0,4821683,24300,5480.0
东莞市,665.0122271,50101727.0,3773210,52381,7611.0
中山市,162.86362169999998,24410432.0,3464062,36326,5241.0
南宁市,-1.012822702,25031812.0,3627301,318047,7052.0
桂林市,-40.71609777,14850212.0,1760709,155217,6192.0
重庆市,-411.396094,114096000.0,25083500,670174,6896.0
成都市,239.122567,81389438.0,18900420,685639,8597.0
绵阳市,-47.75733294,13464220.0,1456901,102968,5016.0
贵阳市,67.74641715,17003048.0,9085224,391071,5357.0
昆明市,107.4735602,30111433.0,9190732,361000,8664.0
兰州市,40.7045165,15638180.0,2333093,306635,8716.0
银川市,36.40430229,11509344.0,2757023,82469,5767.0
