城市,2017流动人口,gdp,房地产投资额,高校学生数,2017平均房价
北京市,808.705951,256691300.0,40454000,599188,57768.0
天津市,510.5348665,178853900.0,23000100,513842,22205.0
唐山市,22.24344219,63548675.0,4589368,115879,7343.0
秦皇岛市,-115.04933899999999,13493526.0,2516902,154101,8006.0
邯郸市,-108.71039270000001,33370903.0,3817210,57383,8403.0
邢台市,-57.27065611,19757460.0,1915410,48874,7706.0
保定市,-47.64853961,34771269.0,7357727,215527,12983.0
张家口市,-27.663659399999997,14659911.0,3259972,17565,10456.0
承德市,-29.897695199999998,14385741.0,1365741,43063,9258.0
沧州市,-32.57142857,35446800.0,2833656,78262,10144.0
衡水市,-10.56798623,14201825.0,1900820,15596,7969.0
太原市,63.15715039,29556045.0,6819017,432234,9695.0
大同市,23.40857352,10257962.0,1677293,28142,4135.0
长治市,3.788414322,12704767.0,677962,38129,6372.0
晋城市,11.79077113,10493400.0,803648,6325,6397.0
晋中市,2.222906328,10911041.0,1790361,176197,5654.0
运城市,-1.982169134,12223486.0,1163114,55222,4093.0
忻州市,6.826438651,7161357.0,440958,26944,4965.0
临汾市,10.68161021,12051761.0,975340,47585,5150.0
呼和浩特市,66.41415218,31735900.0,5205200,237734,7957.0
包头市,60.34065328,38676300.0,1845728,80246,6579.0
乌海市,11.70465807,5722261.0,220991,4806,4422.0
赤峰市,-32.77051807,19332792.0,1099213,21732,7381.0
鄂尔多斯市,46.01995935,44179341.0,588446,7982,5596.0
呼伦贝尔市,-6.294979732000001,16208500.0,877585,19144,3763.0
沈阳市,95.15249727,55464498.0,7096706,403589,7999.0
鞍山市,14.69557387,14619713.0,1495845,34113,4408.0
抚顺市,-7.752425672999999,8650721.0,565671,44021,4801.0
丹东市,2.603145117,7512352.0,800511,27617,5692.0
营口市,11.15044977,11562477.0,956106,21155,4597.0
阜新市,-11.34801359,4078179.0,256566,38192,3784.0
盘锦市,13.65070603,10071351.0,873281,6865,3866.0
铁岭市,-34.85332311,5880423.0,581296,18809,4036.0
朝阳市,-45.9481573,7165334.0,461850,5393,4746.0
长春市,0.634463832,59864200.0,5966477,434366,7482.0
吉林市,2.3503926109999997,24535091.0,1318258,104018,5800.0
四平市,1.00367527,11938035.0,427912,39028,4723.0
辽源市,0.549543163,7652485.0,121525,5780,4037.0
通化市,0.477768212,9475914.0,639013,12858,4497.0
白山市,1.490861711,6966243.0,135986,1713,3440.0
松原市,0.001413832,16516898.0,352662,2772,4430.0
白城市,2.0683160590000003,7001392.0,241223,20130,4975.0
哈尔滨市,-0.28361573,61016096.0,5121301,636240,8348.0
齐齐哈尔市,-28.11405216,13253110.0,764700,55042,5185.0
鸡西市,-0.045868677000000004,5183793.0,232082,8725,3364.0
大庆市,-0.363385785,26100031.0,540192,60889,5183.0
佳木斯市,-8.857096372,8450332.0,526126,31822,4097.0
牡丹江市,16.73019872,13681181.0,563153,41298,4817.0
上海市,967.4816836000001,281786500.0,37090311,514683,50017.0
南京市,162.2938773,105030200.0,18456004,827773,25733.0
无锡市,165.9998867,92100200.0,10336226,113732,9592.0
徐州市,-172.0464507,58085200.0,5491309,140825,8786.0
常州市,95.48671377,57738600.0,4467017,123815,12069.0
苏州市,385.1708758,154750900.0,21632440,219271,15320.0
南通市,-36.8970896,67682000.0,5841356,94840,10717.0
连云港市,-85.49753713,23764800.0,2354133,38647,8438.0
淮安市,-79.89828011,30480000.0,3214134,69653,7988.0
盐城市,-107.8292297,45760800.0,3585666,69637,8440.0
扬州市,-13.25213059,44493800.0,4101757,80450,10861.0
镇江市,45.88927307,38338400.0,4486433,87481,9049.0
泰州市,-43.63002377,41017800.0,2499636,59201,9110.0
宿迁市,-105.3365072,23511200.0,3097565,19852,7120.0
杭州市,174.29740280000001,113137223.0,26064090,427978,28540.0
温州市,96.60201868,51015586.0,9020098,86276,17992.0
嘉兴市,107.95026680000001,38621104.0,4783968,65441,10481.0
湖州市,31.24877448,22843743.0,2742244,26668,10981.0
绍兴市,52.79950938,47890304.0,6411932,90277,11902.0
金华市,67.69653653,36849362.0,4088512,34566,14504.0
衢州市,-42.249343700000004,12515883.0,1242486,13523,11257.0
舟山市,18.50011632,12411989.0,1718863,24521,13359.0
丽水市,-52.80006401,12102414.0,1676083,36724,9734.0
合肥市,52.94662956,62743777.0,13525944,499515,14362.0
芜湖市,-21.80065116,26994385.0,4080965,165114,9175.0
蚌埠市,-48.89910405,13858228.0,3885755,61292,6466.0
淮南市,-44.64862451,9638395.0,1218810,79932,5407.0
马鞍山市,-2.098339738,14937617.0,2189306,53714,5939.0
淮北市,2.352046559,7990337.0,920917,39800,5942.0
安庆市,-69.10404277,15311776.0,1405467,40103,6979.0
黄山市,-10.35117528,5768174.0,1112145,22555,8790.0
滁州市,-50.94464746,14228257.0,3361508,51397,6508.0
阜阳市,-267.3855005,14018589.0,3505381,36943,9012.0
宿州市,-97.01128966,13518116.0,2357812,23764,5629.0
六安市,-111.3596446,11081469.0,2366269,40807,7870.0
池州市,-18.05229844,5890196.0,825501,24178,7552.0
宣城市,-20.34749632,10578243.0,1791561,6802,8156.0
福州市,66.50324008,61976395.0,16794355,317477,26771.0
厦门市,167.9996299,37842662.0,7657970,142948,47177.0
莆田市,-61.99783615,18234281.0,3533053,21005,13656.0
三明市,-33.00132403,18608197.0,1043666,24648,7472.0
泉州市,124.4982773,66466294.0,7061435,125999,10651.0
漳州市,-5.500546658999999,31253456.0,4628479,71449,13670.0
南平市,-56.00012725,14577378.0,1577926,25238,7872.0
龙岩市,-52.00107803,18956670.0,1801018,18044,10566.0
宁德市,-63.99932574,16231142.0,1790411,10452,9491.0
南昌市,10.71316699,43549927.0,6745980,611819,11396.0
景德镇市,-4.2294808680000004,8401484.0,428769,32210,5858.0
萍乡市,-9.234626409,9982752.0,485147,11632,4088.0
九江市,-36.32869537,20961347.0,1238501,92430,6572.0
赣州市,-114.20255420000001,22071959.0,2912373,137176,7824.0
吉安市,-44.14547226,14613721.0,939192,34833,6956.0
宜春市,-49.78208187,17819520.0,1819353,43200,5742.0
抚州市,-0.819227337,12109070.0,1115713,29035,7355.0
济南市,85.26245343,65361165.0,11639381,726301,15842.0
淄博市,34.44993498,44120100.0,2218211,107151,7029.0
枣庄市,-23.31691037,21426335.0,1589165,34024,4979.0
东营市,19.13968688,34796000.0,2088087,32624,6251.0
烟台市,48.9129467,69256587.0,5510205,195488,8801.0
潍坊市,-28.69295656,51706000.0,4432931,171283,5997.0
济宁市,-43.31446711,43018200.0,2785190,110651,6671.0
泰安市,-7.089348942000001,33167900.0,1810897,130858,8339.0
威海市,25.22920679,32122000.0,2150701,85467,8232.0
日照市,-10.94023125,18024900.0,1585005,29145,6819.0
莱芜市,7.370869152,7027600.0,471712,11012,5778.0
临沂市,-103.2580728,40267500.0,3745021,75748,5240.0
德州市,-16.27552305,29329900.0,2203755,58413,6905.0
聊城市,-32.634638,28591800.0,2485127,45418,7741.0
滨州市,-4.50273747,24701013.0,1146712,53567,7278.0
菏泽市,-158.846977,25602400.0,2826115,50617,6150.0
郑州市,137.6392515,81139666.0,27789452,889329,12859.0
开封市,-104.5345296,17551002.0,1902163,91191,6142.0
洛阳市,-59.7960468,38201075.0,3725110,134827,6548.0
平顶山市,-70.79464967,18251414.0,1484115,57913,5197.0
安阳市,-113.4505972,20298494.0,2798025,78308,5012.0
鹤壁市,-9.009303296,7717894.0,761958,13833,5618.0
新乡市,-72.80320063,21669705.0,3658640,150912,6052.0
焦作市,-19.99976345,20950796.0,1126013,74003,4921.0
濮阳市,-71.14486133,14495555.0,1241321,11212,6195.0
许昌市,-73.8983713,23777133.0,1746054,38659,6459.0
漯河市,-6.000899412000001,10819257.0,611619,30763,4373.0
三门峡市,-3.872975176,13258631.0,1146252,14035,4824.0
南阳市,-190.49651730000002,31149653.0,1844267,80438,5277.0
商丘市,-249.2253037,19891538.0,5650300,91113,5033.0
信阳市,-265.8290738,20378010.0,3584781,68668,6304.0
周口市,-377.50264780000003,22638615.0,2192206,42301,4435.0
驻马店市,-251.95421299999998,19729881.0,2784544,24039,6646.0
黄石市,-23.82309128,13055500.0,1323708,42205,6209.0
十堰市,-8.397310078,14291500.0,872797,52491,5391.0
宜昌市,18.25188379,37093600.0,2441815,58116,7532.0
襄阳市,-31.35284711,36945100.0,3407560,50213,8395.0
鄂州市,-4.59988264,7978200.0,228818,17396,4584.0
荆门市,-10.12006861,15210000.0,1003925,12674,4434.0
孝感市,-33.89154982,15766900.0,1600246,43700,5194.0
荆州市,-76.20953638,17267500.0,1515263,91786,6362.0
黄冈市,-116.38954440000002,17261700.0,2657300,40487,4676.0
咸宁市,-52.35214755,11079300.0,569908,41000,3295.0
长沙市,57.84773046,93569088.0,12605475,590020,9873.0
株洲市,-3.1600811839999996,24884543.0,2691955,94042,5475.0
湘潭市,-6.921890638,18667869.0,1296088,129780,4899.0
衡阳市,-67.8324449,28530158.0,1508431,118657,4744.0
邵阳市,-100.8544813,15302577.0,1457223,29208,4530.0
岳阳市,-5.477677269,31008720.0,1329500,45171,6909.0
常德市,-26.58273154,29538202.0,1399557,46921,6207.0
张家界市,-18.3377709,4930990.0,399445,21431,6626.0
益阳市,-41.86444392,14931802.0,1081917,34399,5542.0
郴州市,-62.93289927,22041285.0,2120776,26236,4809.0
永州市,-100.2577234,15658072.0,946556,27721,4811.0
怀化市,-31.91222164,14003368.0,1263441,29202,4962.0
娄底市,-64.69801431,14001393.0,928895,28728,4743.0
广州市,507.23024239999995,195474420.0,25408549,1057281,28578.0
韶关市,-39.61708708,12183920.0,1468356,39044,5218.0
深圳市,779.3560578,194926012.0,17565209,91883,51477.0
珠海市,50.47283457,22263708.0,6410315,133626,19531.0
汕头市,-2.4413212090000003,20809729.0,3063846,10817,8339.0
佛山市,344.665263,86300002.0,12299669,49994,10229.0
江门市,59.17581594,24187806.0,3536167,40055,6689.0
湛江市,-109.280383,25844327.0,2232103,108882,6940.0
茂名市,-188.79808380000003,26367435.0,1098424,37900,7295.0
肇庆市,-36.79006604,20840190.0,1451967,86556,6964.0
梅州市,-115.92726359999999,10455668.0,1725329,25874,7919.0
汕尾市,-59.09034405,8284882.0,567656,5866,7554.0
河源市,-65.27317239999999,8987162.0,1757240,12085,6429.0
阳江市,-44.02078087,12707564.0,1013812,9884,5410.0
清远市,-47.97564755,13877104.0,2275208,12624,6690.0
东莞市,624.7766866000001,68276868.0,6427591,112603,13913.0
中山市,160.9810799,32027780.0,5435851,48661,11266.0
揭阳市,-89.34589881,20068992.0,535058,11944,6096.0
南宁市,-49.5873907,37033300.0,8539976,400531,9515.0
柳州市,8.072007000000001,24769396.0,3447861,76065,7667.0
桂林市,-35.45050466,20548216.0,2807249,229590,6182.0
梧州市,-46.10713554,11756486.0,643683,19081,4136.0
北海市,-10.52971744,10066500.0,1763054,32541,5662.0
防城港市,-4.629898344,6760383.0,877993,3620,4427.0
钦州市,-86.3868267,11020466.0,785673,29280,3559.0
玉林市,-143.86363469999998,15538300.0,1361587,18020,4878.0
重庆市,-328.1006528,177405900.0,37259452,732475,9925.0
自贡市,-49.45145118,12345637.0,1238666,34659,5680.0
攀枝花市,12.40933581,10146839.0,550348,25128,4005.0
泸州市,-78.42337015,14819105.0,2391967,46745,5990.0
德阳市,-40.34871075,17524542.0,1257762,88810,4975.0
绵阳市,-65.85736349,18304207.0,2055775,129020,6904.0
广元市,-41.75414805,6600100.0,946342,13112,6183.0
遂宁市,-48.60195982,10084521.0,1445572,13821,6829.0
内江市,-45.67536851,12976712.0,1228068,29179,5342.0
乐山市,-28.72192067,14065848.0,2120161,41804,4913.0
南充市,-102.6789455,16514004.0,2166442,73362,5891.0
眉山市,-49.886722,11172317.0,1942877,23811,4335.0
宜宾市,-106.00601609999998,16530529.0,1895549,25687,6634.0
广安市,-141.4267733,10786241.0,2582230,9165,5332.0
达州市,-125.7331121,14470836.0,932842,23647,6159.0
巴中市,-43.19342065,5446605.0,1189645,3638,4350.0
资阳市,-102.12096600000001,9434411.0,1501755,6574,6238.0
贵阳市,64.9298973,31577001.0,9273162,404401,7484.0
遵义市,-180.9712987,24039400.0,3502114,86535,5555.0
昆明市,110.25344469999999,43000780.0,15304999,465464,9771.0
玉溪市,19.84888696,13118823.0,986878,15687,6645.0
保山市,-2.0980921830000003,6133904.0,617254,12919,6437.0
普洱市,10.72206594,5675443.0,671919,10655,4724.0
兰州市,45.93020406,22642318.0,3911500,424842,9989.0
平凉市,-23.94624271,3673000.0,557602,5670,6748.0
酒泉市,-0.25929506399999996,5779341.0,330288,8469,5175.0
