城市,2016流动人口,gdp,房地产投资额,高校学生数,2016平均房价
北京市,815.855241,230145900.0,42363473,593448,57597.0
天津市,504.9812523,165381900.0,18715500,512854,23220.0
石家庄市,37.04539075,54405988.0,9862702,419787,14878.0
唐山市,23.51140233,61030601.0,5686799,111421,6245.0
秦皇岛市,11.2475227,12504439.0,2572302,155192,6497.0
邯郸市,-109.3616143,31454319.0,3412519,58496,6521.0
邢台市,-52.84535125,17647323.0,1819795,47351,5476.0
保定市,-169.9747731,30003400.0,4446244,174568,10151.0
张家口市,-26.87501297,13635443.0,2116708,67806,8843.0
承德市,-29.47951565,13587278.0,1314865,41144,6695.0
沧州市,-33.46154176,33206328.0,2380975,55485,6834.0
廊坊市,-6.876437752,24738649.0,6708679,156178,16175.0
衡水市,-9.313334786,12200080.0,1588965,27336,5045.0
太原市,63.48821937,27353442.0,6042152,421429,8308.0
大同市,23.69748685,10533703.0,1391671,28752,3452.0
长治市,4.393626708999999,11953423.0,875323,39659,5717.0
晋城市,11.75562608,10402416.0,745974,6283,6250.0
晋中市,3.137448623,10461155.0,1188919,162846,5108.0
运城市,16.16939562,11740143.0,1236447,52265,3764.0
忻州市,6.965619622,6812356.0,523895,20251,4733.0
临汾市,11.92267198,11611090.0,1126002,44675,4827.0
呼和浩特市,65.92872975,30905200.0,5090452,235188,6651.0
包头市,57.56499603,37219300.0,1973219,72320,5861.0
乌海市,11.0098166,5598322.0,370117,3536,4038.0
赤峰市,-32.46639557,18612749.0,857116,20400,6122.0
通辽市,-7.131755069,18772700.0,315686,37052,5110.0
鄂尔多斯市,46.68023170000001,42261300.0,588280,5894,4478.0
呼伦贝尔市,-6.025063756000001,15989500.0,669427,21539,4590.0
沈阳市,98.49385711,72723051.0,13376632,404032,7242.0
大连市,104.98504799999999,77316363.0,8974595,290025,9854.0
鞍山市,15.0992196,23369966.0,2060841,35372,4240.0
抚顺市,-8.159389047000001,12164773.0,774384,46035,4488.0
本溪市,20.93921071,11646927.0,763966,17974,4848.0
丹东市,2.9517380660000003,9849006.0,855324,28487,5519.0
锦州市,4.6423514710000005,13273292.0,1140306,85209,5104.0
营口市,11.8289786,15137503.0,1049299,21303,1754.0
阜新市,-11.26729409,5255376.0,432686,41661,3793.0
辽阳市,5.790835219,10285818.0,688119,26616,4553.0
盘锦市,14.30926332,12565377.0,2395411,7093,3981.0
铁岭市,-34.68148826,7409003.0,1217544,18011,3959.0
长春市,0.361601658,55300345.0,5060231,426081,6837.0
吉林市,0.7137770170000001,23941860.0,1393617,104873,5434.0
四平市,0.590238638,12332487.0,246936,38353,3678.0
辽源市,0.600116949,7266404.0,163608,5794,4000.0
通化市,0.5494875029999999,10012129.0,632000,12598,3856.0
松原市,0.188408253,16373003.0,502647,2890,4376.0
白城市,0.030177111,6996822.0,275879,19800,4157.0
哈尔滨市,12.96579548,57512119.0,5817879,663749,7624.0
齐齐哈尔市,-29.40432665,12703250.0,973364,63745,5224.0
鸡西市,0.670774573,5146868.0,191078,8260,3211.0
大庆市,-4.534816416,29834587.0,453738,64552,5100.0
佳木斯市,-6.528984287999999,8101676.0,634117,33834,3710.0
牡丹江市,14.77591013,13107000.0,762743,51797,4253.0
绥化市,2.3584542109999997,12722076.0,387582,9894,3526.0
上海市,977.4941797,251234500.0,34689415,511623,52142.0
南京市,169.201992,97207700.0,14290194,812619,24867.0
无锡市,169.6567521,85182600.0,9916634,115341,8300.0
徐州市,-163.83348830000003,53198804.0,4702244,137631,6761.0
常州市,99.03977108,52731500.0,5080400,102994,8202.0
苏州市,393.98910750000005,145040700.0,18649472,214147,16181.0
连云港市,-84.29430271,21606400.0,2054236,38717,6458.0
淮安市,-78.24914984,27450900.0,2836904,68011,5740.0
盐城市,-105.46185990000002,42125000.0,3676848,57287,6607.0
扬州市,-13.04700258,40168400.0,3781753,81550,8597.0
镇江市,45.72449575,35024800.0,3557794,85340,7240.0
泰州市,-43.84063904,36879000.0,2455676,56212,7285.0
宿迁市,-101.43517750000001,21261900.0,3625259,18242,5085.0
杭州市,171.9510158,100502079.0,24720743,475558,21655.0
嘉兴市,108.2697463,35178068.0,4584133,52713,8895.0
湖州市,30.28760205,20842666.0,3233875,32199,8329.0
金华市,66.45863956,34023399.0,3502163,34976,10392.0
衢州市,-43.53022193,11461322.0,995114,13681,8039.0
舟山市,17.53974031,10928459.0,1935938,23468,10769.0
丽水市,-52.87814227,11032922.0,1582693,37614,14187.0
合肥市,56.57755684,56602700.0,12591353,527104,14983.0
芜湖市,-21.23759735,24573234.0,4528413,130181,6613.0
蚌埠市,-48.89945514,12530550.0,4285989,61617,5153.0
淮南市,95.14487461,9010822.0,1158611,77829,4289.0
马鞍山市,-3.950741752,13653044.0,2012824,56187,4872.0
淮北市,0.401160966,7603904.0,1478323,38534,5416.0
安庆市,-166.349381,14174300.0,1217211,41497,5391.0
黄山市,-10.83894056,5309000.0,1012254,22176,5652.0
滁州市,-48.95691733,13056964.0,3344286,49120,941.0
阜阳市,-256.43915699999997,12674505.0,2647769,36187,6650.0
宿州市,-98.17120901,12358259.0,2198068,22604,5056.0
六安市,-245.47182310000002,10164885.0,1822913,43111,5788.0
亳州市,-132.7876219,9426090.0,2051833,12049,4575.0
池州市,-18.31005787,5447404.0,828224,22879,5615.0
福州市,68.14000664,56180844.0,13811248,320965,19822.0
厦门市,172.34935269999997,34660288.0,7440727,143992,38883.0
莆田市,-58.26103675,16551618.0,4159449,21302,9912.0
三明市,-32.11967637,17130478.0,1302150,24654,7083.0
泉州市,125.0547155,61377139.0,6815890,124078,8417.0
漳州市,-4.081673565,27673767.0,5025111,71515,9661.0
南平市,-56.85937171,13395148.0,1528150,24476,5897.0
龙岩市,-49.37768183,17384535.0,1933005,17846,8645.0
宁德市,-62.9224228,14873590.0,2380343,10304,6779.0
景德镇市,-3.2143061669999997,7720557.0,274370,29320,3794.0
萍乡市,-8.784580641,9123871.0,454646,11300,3720.0
九江市,-34.96025693,19026783.0,1329104,88784,5249.0
赣州市,-107.913221,19738688.0,2743545,91497,6024.0
吉安市,-41.35830683,13285198.0,820018,18745,5054.0
宜春市,-46.68942628,16210204.0,1490782,44535,4123.0
抚州市,-0.8167946640000001,11051377.0,1100013,30118,5687.0
济南市,84.26802139,61002320.0,10141433,713965,11667.0
淄博市,33.24977867,41302400.0,2276877,102998,5893.0
枣庄市,-22.32196235,20310028.0,1866378,30307,4446.0
东营市,19.86445144,34506400.0,1939439,30019,6249.0
烟台市,47.54083954,64460800.0,6070567,182629,8109.0
潍坊市,32.50453138,51705000.0,4679130,198784,4870.0
济宁市,-40.48615797,40131243.0,3084754,103965,5683.0
泰安市,-6.603963533,31583900.0,1451549,109281,7000.0
威海市,25.97520155,30015700.0,3131931,70678,6005.0
日照市,-8.42633798,16708000.0,1088536,29539,5924.0
莱芜市,6.526183446,6658300.0,318505,9893,5156.0
临沂市,-97.42225666,37631700.0,3924634,69602,4663.0
德州市,-14.89681536,27509400.0,2145748,51250,5344.0
聊城市,-26.98453166,26636200.0,1904201,43671,5577.0
滨州市,-4.143003318,23553298.0,1084975,51772,5000.0
菏泽市,-156.1605291,24009600.0,2584839,48866,4751.0
郑州市,136.85591019999998,73115210.0,20001954,824152,12091.0
开封市,-99.26252166,16058404.0,1682054,89321,4496.0
洛阳市,-57.35441461,34690273.0,3338907,130773,4996.0
平顶山市,-60.35435381,17057781.0,1062106,55169,4907.0
安阳市,-105.7521614,18844808.0,2236642,72862,3870.0
鹤壁市,-8.560268882,7172528.0,689784,12135,4565.0
新乡市,-62.30059988,19750287.0,2575378,143288,4979.0
焦作市,-18.85374977,19260785.0,989234,97438,4118.0
濮阳市,-68.45926986,13283410.0,951181,8401,5444.0
许昌市,-71.94112555,21711562.0,1516666,35568,5348.0
漯河市,-6.674374918,9928496.0,481088,26540,3890.0
三门峡市,-3.590432463,12510383.0,1067155,13048,3695.0
南阳市,-187.97105019999998,28668156.0,1608267,74511,4601.0
商丘市,-234.48121890000002,18121623.0,2624727,84205,3874.0
信阳市,-275.3039003,18777440.0,2925001,62402,5080.0
周口市,-363.6615728,20896975.0,1922889,46142,4878.0
驻马店市,-261.609973,18070960.0,2326418,34272,4943.0
黄石市,-22.61008151,12281000.0,1301434,43072,5038.0
十堰市,-7.640189951,13001200.0,830147,51286,5000.0
宜昌市,12.79620204,33848000.0,2418924,58123,6299.0
襄阳市,-30.87441801,33821200.0,3345836,50957,6260.0
鄂州市,-4.370178755,7300100.0,210867,15255,3996.0
荆门市,-9.8275,13884600.0,1181124,14078,3621.0
孝感市,-39.51301698,14572000.0,1715832,43805,4268.0
荆州市,-72.60704036,15905000.0,1133279,97457,4718.0
黄冈市,-115.3169994,15892400.0,2001000,40849,3650.0
咸宁市,-50.59916428,10300700.0,599378,40191,2889.0
长沙市,56.81183372,85101328.0,9966008,569400,7601.0
株洲市,-4.851862737,23351075.0,2258608,82761,4712.0
湘潭市,-7.460246566,17030972.0,1454435,122300,4427.0
衡阳市,-67.21560752,26015749.0,1408786,109023,3687.0
邵阳市,-97.3155001,13869988.0,1356365,28230,4204.0
岳阳市,-3.173565693,28862800.0,1514489,43783,5208.0
常德市,-25.44079555,27090169.0,1214123,44724,4848.0
张家界市,-17.82033135,4477004.0,314491,12608,3728.0
益阳市,-40.73295165,13544119.0,1039023,32568,3988.0
郴州市,-56.86158427,20120654.0,1943553,24460,4004.0
永州市,-94.44550988,14181762.0,894822,25900,3699.0
怀化市,-29.44676899,12732479.0,1172099,37570,3904.0
娄底市,-61.48345892,12916626.0,1079409,27771,3194.0
广州市,474.8855133,181004136.0,21375891,1043221,22926.0
韶关市,-38.18851701,11499806.0,1312939,38509,4773.0
深圳市,752.8913432,175028634.0,13310333,90112,43289.0
珠海市,49.96488782,20254111.0,5241185,132000,19070.0
汕头市,3.324270129,18680251.0,2455121,10005,7596.0
佛山市,350.0874798,80039186.0,9453688,49395,7161.0
江门市,60.13497259,22400243.0,3110122,39490,5487.0
茂名市,-179.3451086,24456300.0,1026670,35712,5909.0
肇庆市,-33.50114855,19700100.0,1597686,81441,5477.0
汕尾市,-57.5467579,7620631.0,261016,5626,4365.0
河源市,-59.5734029,8100793.0,1285928,11350,6361.0
阳江市,-41.58733074,12500077.0,1048642,9703,4078.0
清远市,-35.8264231,12778570.0,2135798,13395,4000.0
东莞市,634.8505717999999,62750737.0,5752145,114626,11651.0
中山市,161.43407,30100326.0,4810127,39951,8148.0
揭阳市,-96.97214526,18900144.0,486718,12007,5012.0
南宁市,-45.23022419,34100859.0,6571897,375192,7262.0
柳州市,8.843045066,22986169.0,3016449,72286,6703.0
桂林市,-34.940962899999995,19429668.0,1911434,227500,6022.0
梧州市,-45.17587193,10785858.0,689731,15967,3703.0
北海市,-10.49104185,8920837.0,1339774,24097,4479.0
防城港市,-4.289426823,6207242.0,801959,3561,3793.0
