城市,2016流动人口,gdp,房地产投资额,高校学生数,2016平均房价
钦州市,-84.60602165,9444242.0,453265,21956,3384.0
玉林市,-142.3738846,14461253.0,959571,18120,4314.0
重庆市,-367.83204910000006,157172700.0,37512812,767114,7493.0
自贡市,-51.65926653,11431113.0,1258074,36912,5815.0
攀枝花市,12.56969445,9251839.0,589447,23802,3995.0
泸州市,-78.92421391,13534133.0,1968690,44142,4950.0
德阳市,-38.78017965,16050640.0,1153816,73084,3696.0
绵阳市,-69.91592325,17003318.0,1983475,123937,5233.0
广元市,-45.05551863,6054300.0,867997,13039,2327.0
遂宁市,-50.12534089,9158112.0,1119066,14177,6155.0
内江市,-46.80830424,11985784.0,1238771,26772,4837.0
乐山市,-28.26211868,13012326.0,1528610,49073,4201.0
南充市,-107.4312939,15162016.0,2132198,71691,4875.0
眉山市,-49.59829082,10298632.0,1951527,23486,3769.0
宜宾市,-104.0752143,15259043.0,1504210,25409,6937.0
广安市,-143.4788359,10056146.0,1842551,8590,5268.0
达州市,-127.8898447,13507623.0,825762,23228,4893.0
巴中市,-46.97569116,5013438.0,1044901,2386,4333.0
资阳市,-147.8508868,12703811.0,1951364,4547,4326.0
遵义市,-175.99385159999997,21683400.0,3417167,54492,4569.0
昆明市,109.57769679999998,39680051.0,14513067,436436,8485.0
曲靖市,-37.66053799,16502574.0,1442978,20815,3848.0
玉溪市,19.64155646,12445230.0,655881,14923,6428.0
保山市,-1.704877821,5519581.0,660679,12362,5290.0
普洱市,9.776374248,5140121.0,604632,10559,4724.0
拉萨市,10.58211016,3767300.0,461309,21358,7609.0
兰州市,45.99861686,20959920.0,3390149,416438,9014.0
平凉市,-45.03273121,3476994.0,665935,5367,6144.0
酒泉市,-0.175261652,5447963.0,420959,8029,4743.0
庆阳市,-44.61344223,6094314.0,418317,17941,5451.0
定西市,-23.34401474,3049178.0,311153,4683,4868.0
西宁市,28.84794825,11316193.0,2804295,69894,6391.0
银川市,35.4234184,14938590.0,4091711,97996,5328.0
石嘴山市,3.4681081739999997,4823793.0,537376,7755,3034.0
乌鲁木齐市,87.17051116,26316398.0,3883661,180484,6662.0
克拉玛依市,18.07294961,6294299.0,346603,5228,5000.0
